Apo GHSR
Delta G along path
       PC0       PC1      DelG
    -0.968    79.481 18320.389
    -1.588    78.159 18320.389
    -2.087    76.759 14332.891
    -2.473    75.284 12163.854
    -2.756    73.740 11159.285
    -2.943    72.133  9119.747
    -3.043    70.469  7402.425
    -3.066    68.753  6130.782
    -3.020    66.989  5108.194
    -2.913    65.185  4060.123
    -2.755    63.345  3140.630
    -2.554    61.474  2450.974
    -2.318    59.579  1955.288
    -2.058    57.665  1697.605
    -1.780    55.737  1401.763
    -1.495    53.801  1286.507
    -1.210    51.862  1579.603
    -0.935    49.925  1455.979
    -0.679    47.997  1859.922
    -0.449    46.083  2071.982
    -0.254    44.188  2488.108
    -0.105    42.318  2821.318
    -0.008    40.478  3245.604
     0.027    38.673  3806.938
    -0.009    36.910  4036.713
    -0.124    35.194  4386.481
    -0.327    33.530  4825.705
    -0.627    31.923  4324.649
    -1.033    30.380  4486.875
    -1.553    28.905  4825.705
    -2.195    27.504  4524.415
    -2.970    26.184  4825.705
    -3.884    24.948  4721.151
    -4.935    23.794  4783.352
    -6.108    22.716  5132.249
    -7.390    21.703  5256.153
    -8.766    20.747  5468.267
   -10.221    19.840  5700.256
   -11.741    18.972  5567.101
   -13.312    18.134  6148.933
   -14.920    17.319  6167.218
   -16.549    16.518  6222.896
   -18.186    15.721  6397.856
   -19.816    14.920  6479.767
   -21.425    14.106  5685.103
   -22.999    13.270  6130.782
   -24.522    12.405  6167.218
   -25.989    11.505  6041.971
   -27.408    10.577  6743.119
   -28.792     9.628  7199.469
   -30.151     8.664  7902.960
   -31.497     7.694  8217.996
   -32.841     6.724  8135.403
   -34.194     5.761  9733.779
   -35.569     4.813  9243.651
   -36.976     3.886 10154.716
   -38.427     2.988  9977.671
   -39.933     2.127  9812.439
   -41.505     1.308  9657.540
   -43.155     0.540 10345.392
   -44.895    -0.171  9441.963
   -46.733    -0.819  9511.758
   -48.652    -1.412  9583.577
   -50.618    -1.968  9001.745
   -52.596    -2.505  9243.651
   -54.553    -3.040  7402.425
   -56.453    -3.592  6241.737
   -58.263    -4.178  4857.952
   -59.949    -4.816  3778.783
   -61.475    -5.524  2864.491
   -62.808    -6.320  2044.026
   -63.913    -7.222  1718.845
   -64.756    -8.247  1491.867
   -65.302    -9.413  1230.828
   -65.526   -10.731  1369.794
   -65.442   -12.178  1442.314
   -65.074   -13.718  1556.662
   -64.448   -15.319  1706.685
   -63.590   -16.947  1972.108
   -62.525   -18.567  1975.486
   -61.278   -20.147  1758.782
   -59.875   -21.651  1582.485
   -58.341   -23.047  1103.996
   -56.701   -24.300   922.937
   -54.981   -25.377   363.461
   -53.207   -26.244   186.538
   -51.403   -26.867    -0.000
   -49.594   -27.215    60.112
   -47.791   -27.293   422.347
   -45.994   -27.128   883.470
   -44.208   -26.748  1478.002
   -42.432   -26.181  2205.547
   -40.669   -25.453  3129.834
   -38.920   -24.593  3998.181
   -37.188   -23.628  4496.207
   -35.474   -22.586  5496.105
   -33.781   -21.495  6377.794
   -32.109   -20.381  7372.393
   -30.461   -19.273  7284.423
   -28.838   -18.198  8303.438
   -27.243   -17.185  7313.401
   -25.677   -16.259  6377.794
   -24.141   -15.450  6094.875
   -22.639   -14.784  5386.582
   -21.170   -14.290  4901.610
   -19.739   -13.995  4422.519
   -18.345   -13.926  4272.851
   -16.991   -14.111  3771.794
   -15.679   -14.578  4044.492
   -14.409   -15.346  4052.295
   -13.174   -16.377  4477.578
   -11.962   -17.613  4431.611
   -10.762   -18.995  4923.732
    -9.564   -20.465  4868.794
    -8.356   -21.964  4762.444
    -7.127   -23.433  4991.306
    -5.867   -24.813  4601.245
    -4.564   -26.045  4514.976
    -3.207   -27.071  4496.207
    -1.785   -27.833  4213.758
    -0.287   -28.271  4289.997
     1.295   -28.339  4307.262
     2.951   -28.077  4386.481
     4.660   -27.564  4543.400
     6.404   -26.878  4572.154
     8.163   -26.096  4680.534
     9.919   -25.298  4741.712
    11.651   -24.561  4298.614
    13.341   -23.963  4431.611
    14.968   -23.582  4021.228
    16.515   -23.498  3893.374
    17.961   -23.787  4147.905
    19.296   -24.495  4013.522
    20.539   -25.553  3367.049
    21.718   -26.865  3501.005
    22.857   -28.336  2993.612
    23.983   -29.871  3372.984
    25.124   -31.374  3113.728
    26.304   -32.751  2845.210
    27.551   -33.905  2737.166
    28.891   -34.742  2973.304
    30.344   -35.186  2968.253
    31.901   -35.269  2973.304
    33.543   -35.057  3173.301
    35.249   -34.619  3195.324
    37.001   -34.021  3050.333
    38.778   -33.331  3223.131
    40.561   -32.616  3055.554
    42.330   -31.943  3217.545
    44.075   -31.344  3239.966
    45.796   -30.810  3564.373
    47.493   -30.326  3675.965
    49.168   -29.880  4368.656
    50.822   -29.459  4197.130
    52.454   -29.049  4591.510
    54.067   -28.638  5025.797
    55.661   -28.211  5281.695
    57.237   -27.757  5333.583
    58.796   -27.261  5482.147
    60.338   -26.712  5346.727
    61.865   -26.104  5640.191
    63.376   -25.439  5281.695
    64.872   -24.720  5120.192
    66.353   -23.948  4879.685
    67.820   -23.128  4868.794
    69.272   -22.260  4562.532
    70.710   -21.348  4005.839
    72.135   -20.394  3367.049
    73.546   -19.401  2978.365
    74.944   -18.370  2346.725
    76.329   -17.304  2107.376
    77.702   -16.206  1691.569
    79.062   -15.078  1533.932
    80.411   -13.922  1258.511
    81.748   -12.742  1156.866
    83.073   -11.538  1089.771
    84.388   -10.315  1092.136
    85.692    -9.074  1015.251
    86.985    -7.818  1026.748
    88.269    -6.548  1343.465
    89.542    -5.268  1333.011
    90.806    -3.981  1688.557
    92.061    -2.687  1982.255
    93.306    -1.391  2568.377
    94.543    -0.094  2978.365
    95.772     1.202  3396.864
    96.992     2.493  4468.316
    98.205     3.778  4524.415
    99.410     5.053  5346.727
   100.608     6.317  6130.782
   101.799     7.568  7171.787
   102.984     8.802  7284.423
   104.162    10.017  8889.109
   105.334    11.211  9243.651
   106.501    12.381 10662.109
   107.662    13.525 12379.431
   108.818    14.641 14885.745
   109.969    15.725 18320.389
   111.116    16.777 18320.389
   112.258    17.792 16603.067
